image_name,leg_length,torso_length,shoulder_width,hip_width
MPPS\MPPS\women\Screenshot 2024-11-17 020939.png,0.5266457026718915,0.25762302667915116,0.32392522980153016,0.17051531131175302
MPPS\MPPS\women\Screenshot 2024-11-17 021130.png,0.5059292945226164,0.2526363122401527,0.29407671662023116,0.16605729980480172
MPPS\MPPS\women\Screenshot 2024-11-17 021159.png,0.4809564813692963,0.24913695832288527,0.2713687828912792,0.16928761375915286
MPPS\MPPS\women\Screenshot 2024-11-17 021212.png,0.4945562754691533,0.2808033508277428,0.33335040811674377,0.20089240989519386
MPPS\MPPS\women\Screenshot 2024-11-17 021226.png,0.49746367126260105,0.2768869340980595,0.3583063885338301,0.19327880598810065
MPPS\MPPS\women\Screenshot 2024-11-17 021241.png,0.48416682616488704,0.21247848967459262,0.2837854222797858,0.16075776218593338
MPPS\MPPS\women\Screenshot 2024-11-17 021306.png,0.518072003110054,0.21200503998166045,0.24714498074438837,0.13616934429215874
MPPS\MPPS\women\Screenshot 2024-11-17 021330.png,0.5691031354228533,0.19461083753877917,0.27759545704271765,0.1396412121463898
MPPS\MPPS\women\Screenshot 2024-11-17 021348.png,0.4987242152300723,0.22563376864333548,0.3420994907786604,0.21317238781113257
MPPS\MPPS\women\Screenshot 2024-11-17 022413.png,0.38706004976137864,0.2310329443414837,0.30892910742848806,0.17230280556658925
MPPS\MPPS\women\Screenshot 2024-11-17 022435.png,0.43789708141944444,0.18671135641600745,0.3068869255985906,0.16734300210752884
MPPS\MPPS\women\Screenshot 2024-11-17 224759.png,0.4936820793155728,0.26443604735140974,0.26671118347901845,0.17078418475986626
MPPS\MPPS\women\Screenshot 2024-11-17 225011.png,0.47312150927565116,0.24670769529924436,0.3378775088686359,0.20877734404619994
MPPS\MPPS\women\Screenshot 2024-11-17 225047.png,0.4415536924056921,0.26523366494767975,0.3327172716907221,0.18569587182419295
MPPS\MPPS\women\Screenshot 2024-11-17 230653.png,0.4674345630126505,0.23062737033246108,0.2431747165556311,0.13660174740249212
MPPS\MPPS\women\Screenshot 2024-11-17 230713.png,0.4419635560565972,0.2481911247411282,0.34121243578226756,0.15968489439854977
MPPS\MPPS\women\Screenshot 2024-11-17 230808.png,0.5146976098421934,0.2160834284127859,0.20388590904762577,0.10464897293744652
MPPS\MPPS\women\Screenshot 2024-11-17 230848.png,0.48508402552922647,0.24039488277965587,0.26874408584245535,0.14539791053154982
MPPS\MPPS\women\Screenshot 2024-11-17 230907.png,0.41386422561013314,0.26590980827670824,0.29397511578237834,0.17131060048856991
MPPS\MPPS\women\Screenshot 2024-11-17 230923.png,0.37675565105996367,0.26376763817253196,0.2730227505633232,0.14796750959412203
MPPS\MPPS\women\Screenshot 2024-11-17 230938.png,0.38956184773632585,0.28417895539748145,0.2568692847382218,0.17011165304187506
MPPS\MPPS\women\Screenshot 2024-11-17 230952.png,0.39937840185684276,0.2859152935399468,0.3376416380270774,0.17674761887101054
MPPS\MPPS\women\Screenshot 2024-11-17 231025.png,0.47352980445819554,0.2289747445647151,0.3100128208535929,0.17727664359852593
MPPS\MPPS\women\Screenshot 2024-11-17 231101.png,0.46447499382148133,0.22004749452226205,0.31777108775631496,0.16735190504340108
MPPS\MPPS\women\Screenshot 2024-11-17 231155.png,0.4982676500862532,0.24144545129205472,0.2748793901573001,0.15053626099608777
MPPS\MPPS\women\Screenshot 2024-11-17 231208.png,0.4815506382586553,0.2232987973795147,0.2676805421437389,0.17050454744813562
MPPS\MPPS\women\Screenshot 2024-11-17 231222.png,0.4589548092755543,0.23021091257615728,0.31486911768451464,0.18753513389129273
MPPS\MPPS\women\Screenshot 2024-11-17 231242.png,0.49084836182007147,0.25443610523393806,0.13909111435620986,0.15097196731809354
MPPS\MPPS\women\Screenshot 2024-11-17 231254.png,0.4533274699448235,0.2526570816202331,0.2553502641155033,0.1536486758531313
MPPS\MPPS\women\Screenshot 2024-11-17 231315.png,0.4254953067695441,0.2494024826112823,0.3475355184943985,0.19958928084771102
MPPS\MPPS\women\Screenshot 2024-11-17 231344.png,0.5102961516489685,0.2672218192219141,0.308156416178732,0.18353667201085289
MPPS\MPPS\women\Screenshot 2024-11-17 231421.png,0.504564051394724,0.25476529087164235,0.3161857142820325,0.21021341998285248
MPPS\MPPS\women\Screenshot 2024-11-17 231433.png,0.4321030656534113,0.23741169030958298,0.24758664990316223,0.16001273674871674
MPPS\MPPS\women\Screenshot 2024-11-17 231505.png,0.44885883342464133,0.23872827924997128,0.309248927350558,0.18256468830993303
MPPS\MPPS\women\Screenshot 2024-11-17 231516.png,0.4270161182588243,0.230913764686422,0.2264986667753552,0.15224625709752806
MPPS\MPPS\women\Screenshot 2024-11-17 231529.png,0.5337424950906704,0.2566830168609443,0.26174667083456493,0.15566908598397527
MPPS\MPPS\women\Screenshot 2024-11-17 231607.png,0.4816320893317099,0.2581595358449707,0.33556275462850116,0.19152413414638378
MPPS\MPPS\women\Screenshot 2024-11-17 231620.png,0.5133632206836677,0.2012049701638723,0.23279597732649088,0.16968328216325018
MPPS\MPPS\women\Screenshot 2024-11-17 231640.png,0.5132160803109074,0.19193712738459043,0.346624003759472,0.22270983512794246
MPPS\MPPS\women\Screenshot 2024-11-17 231655.png,0.49720850936375566,0.2501184708539483,0.3181802710008051,0.2015259205011158
MPPS\MPPS\women\Screenshot 2024-11-17 231716.png,0.48772687703369066,0.2619641634276933,0.3626882515224408,0.2377909988370434
MPPS\MPPS\women\Screenshot 2024-11-17 231858.png,0.49110398523479604,0.2600679500386422,0.33282201419749025,0.19265995322326346
MPPS\MPPS\women\Screenshot 2024-11-17 232001.png,0.48007451052348304,0.2416504106051285,0.339936359162534,0.18712550327280186
MPPS\MPPS\women\Screenshot 2024-11-17 232340.png,0.46705467304683523,0.2523547633991927,0.36369133538726084,0.20027751022787976
MPPS\MPPS\women\Screenshot 2024-11-17 232401.png,0.46880321020421767,0.26786410261930554,0.3806893891748933,0.21781313242859845
MPPS\MPPS\women\Screenshot 2024-11-17 232415.png,0.4852065172978688,0.2342045659659692,0.3269494120878595,0.1788192287321791
